number,value,params_activation,params_epochs,params_lr,params_optimizer,params_units,state
83,1.0000001192092896,relu,86,5.0837517287564666e-05,Lion,286,COMPLETE
96,1.0000001192092896,relu,94,8.653972147866974e-05,Lion,260,COMPLETE
40,1.0,relu,76,1.736959129477805e-05,Lion,283,COMPLETE
19,1.0,relu,79,9.859171472706546e-05,Lion,156,COMPLETE
43,1.0,relu,96,8.722038731194163e-05,Lion,88,COMPLETE
42,1.0,relu,80,2.7057284588443813e-05,Lion,150,COMPLETE
22,1.0,relu,79,6.337091648776023e-05,Lion,289,COMPLETE
41,1.0,relu,83,4.972183314400635e-05,Lion,173,COMPLETE
91,1.0,relu,74,1.7916291836558455e-05,Lion,281,COMPLETE
52,1.0,relu,73,1.369502347672285e-05,Lion,514,COMPLETE
34,1.0,relu,87,0.00011463081977865741,Lion,214,COMPLETE
88,1.0,relu,85,0.00017327068855037928,Lion,141,COMPLETE
61,1.0,relu,87,0.00012902549444178982,Lion,267,COMPLETE
81,1.0,relu,81,2.2701290162776888e-05,Lion,386,COMPLETE
35,1.0,relu,77,2.7974137308768966e-05,Lion,297,COMPLETE
32,1.0,relu,82,5.3418906093739965e-05,Lion,158,COMPLETE
65,1.0,relu,95,0.00042816652577070703,Lion,311,COMPLETE
26,1.0,relu,80,5.052866585177217e-05,Lion,325,COMPLETE
16,1.0,relu,77,6.946670393431843e-05,Lion,252,COMPLETE
67,1.0,relu,99,0.0001492933877442729,Lion,502,COMPLETE
45,1.0,relu,88,0.0015431975470622178,Lion,368,COMPLETE
80,1.0,relu,89,0.00012718645234663506,Lion,256,COMPLETE
56,1.0,relu,66,1.7319708872924344e-05,Lion,572,COMPLETE
47,1.0,relu,96,0.0001580003085186864,Lion,277,COMPLETE
72,1.0,relu,84,2.9549482779453375e-05,Lion,335,COMPLETE
95,1.0,tanh,83,2.187027096839719e-05,Lion,366,COMPLETE
97,1.0,relu,91,8.775651308683316e-05,Lion,263,COMPLETE
53,1.0,relu,89,3.736158384605604e-05,Lion,455,COMPLETE
74,1.0,relu,92,2.412820476353882e-05,Lion,219,COMPLETE
84,1.0,relu,85,4.752590818412537e-05,Lion,351,COMPLETE
98,1.0,relu,95,0.0001299718111646234,Lion,219,COMPLETE
33,1.0,relu,72,1.6219708723658985e-05,Lion,437,COMPLETE
66,0.999967098236084,relu,81,0.0002392792245207197,Lion,194,COMPLETE
82,0.9999343752861023,relu,76,3.240276748893393e-05,Lion,276,COMPLETE
99,0.9999343752861023,relu,97,6.499271476665556e-05,Lion,325,COMPLETE
92,0.9999343156814575,relu,79,6.209856819085777e-05,Lion,282,COMPLETE
37,0.9999343156814575,relu,83,5.567861738891276e-05,Lion,119,COMPLETE
76,0.9999343156814575,relu,75,3.83726000337913e-05,Lion,301,COMPLETE
51,0.9999342560768127,relu,77,2.3447554245232938e-05,Lion,432,COMPLETE
64,0.9998029470443726,relu,79,5.9553544357044376e-05,Lion,157,COMPLETE
55,0.9997372627258301,relu,71,0.00011459227520337188,Lion,369,COMPLETE
78,0.9996387362480164,relu,72,5.672065211919425e-05,Lion,327,COMPLETE
20,0.9995402097702026,relu,64,8.123908436006175e-05,Lion,173,COMPLETE
63,0.9995402097702026,relu,86,0.00010238113529296618,Lion,214,COMPLETE
73,0.9994745254516602,relu,78,9.816381885830473e-05,Lion,247,COMPLETE
69,0.9994417428970337,relu,69,1.9254045648873484e-05,Lion,169,COMPLETE
71,0.9994088411331177,relu,77,7.387308748766315e-05,Lion,293,COMPLETE
62,0.9988834261894226,sigmoid,90,3.8164052543219656e-05,Lion,238,COMPLETE
31,0.9981936812400818,relu,80,5.162779121788532e-05,Lion,322,COMPLETE
21,0.9978653788566589,relu,66,9.019024787125281e-05,Lion,176,COMPLETE
93,0.9977996349334717,relu,71,4.604664857459844e-05,Lion,246,COMPLETE
59,0.9973070621490479,tanh,85,7.617448652443709e-05,Adam,351,COMPLETE
86,0.996814489364624,relu,82,8.445434979602193e-06,Lion,231,COMPLETE
3,0.9961904287338257,relu,84,0.0010637407927338912,Adam,535,COMPLETE
