Model,Valores
Silverado,0.045127856256752974
Grand,0.030775541238144785
Sierra,0.020855176277562126
Accord,0.0182980511425027
F-1504WD,0.01676537676577694
Wrangler,0.014672455880587458
Civic,0.014416343191004042
3,0.0137760614670455
Jetta,0.012805634479170835
Santa,0.012463483932930489
FusionSE,0.012343431109688262
EquinoxFWD,0.01170314938572972
CamrySE,0.009944375525231102
Super,0.009746288366881429
CorollaLE,0.009376125495217895
MalibuLT,0.009073992556724959
F-150XLT,0.007975509224058586
Town,0.007883468726239545
Ram,0.007373244227460082
CamaroCoupe,0.007187162351434631
Cooper,0.006997078714634439
SorentoLX,0.00686301972868062
ExplorerXLT,0.0067989915562847655
Rover,0.006792988915122654
EscapeSE,0.006714954580015206
OptimaLX,0.0067069510584657245
5,0.006630917603745648
Tundra,0.006622914082196166
RX,0.006512865660890792
EquinoxAWD,0.006272760014406339
F-1502WD,0.006242746808595782
CamryLE,0.006162711593100965
CR-VEX-L,0.006088679018768258
Passat4dr,0.0059746288366881424
TerrainFWD,0.0059586217935891795
CruzeSedan,0.005774540797951098
Elantra4dr,0.0055344351514666455
Outback2.5i,0.005518428108367682
CorollaS,0.005496418424106607
200Limited,0.0054363920124854935
EscapeFWD,0.005354355916603305
EdgeSEL,0.005344351514666453
AcadiaFWD,0.005158269638641002
ES,0.005084237064308296
E-ClassE350,0.004998199207651367
FocusSE,0.004852134939373324
Tahoe4WD,0.004736083876905838
Sonata4dr,0.004660050422185762
AcadiaAWD,0.004387930689503381
CTS,0.004339909560206491
CR-VLX,0.004331906038657009
IS,0.0042798831485853775
OdysseyEX-L,0.004247869062387451
C-ClassC300,0.004183840889991596
MuranoAWD,0.0041758373684421144
Camry4dr,0.004139821521469447
Yukon,0.004115810956821001
TraverseFWD,0.004087798631397815
CR-VEX,0.00401976869822722
Tacoma4WD,0.003995758133578775
Escape4WD,0.003925727320020809
CivicLX,0.003919724678858698
PatriotSport,0.003825683300652287
Malibu1LT,0.0037336428028332466
G37,0.003649605826563688
Altima4dr,0.0036095882188162793
Tacoma2WD,0.0035975829364920564
RXRX,0.0035935811757173155
Tahoe2WD,0.0035795750130057226
ExplorerLimited,0.0035595662091320182
Transit,0.0034975389171235344
MalibuLS,0.0034795309936372005
TerrainAWD,0.003423506342790828
EnclaveLeather,0.00338749049581816
PilotEX-L,0.0033854896154307894
F-150Lariat,0.0032974508783864902
Impreza,0.0032234183040537835
Suburban4WD,0.003221417423666413
SRXLuxury,0.0032094121413421906
Prius,0.0031633918924326705
25004WD,0.0031513866101084476
Yukon4WD,0.0031053663611989276
AccordEX-L,0.0031013646004241866
Explorer4WD,0.003099363720036816
CompassSport,0.00307135139461363
Soul+,0.0030633478730641484
OptimaEX,0.0030553443515146665
TraverseAWD,0.0030513425907399256
F-150SuperCrew,0.003035335547640962
Legacy2.5i,0.0030333346672535917
SedonaLX,0.0029873144183440712
ForteLX,0.002953299451758774
Mustang2dr,0.002945295930209292
CamryXLE,0.0029332906478850692
CorollaL,0.002859258073552363
MustangGT,0.002855256312777622
CherokeeLimited,0.00284525191084077
LaCrosseFWD,0.0028432510304533995
SonataSE,0.0027392052503101365
PatriotLatitude,0.002729200848373284
ChallengerR/T,0.0027111929248869503
M-ClassML350,0.002701188522950098
ChargerSXT,0.0026991876425627274
Fusion4dr,0.0026771779583016526
JourneySXT,0.002675177077914282
Express,0.0026571691544279483
ESES,0.002637160350554244
JourneyFWD,0.002597142742806835
Corvette2dr,0.002537116331185722
F-150XL,0.002513105766537276
Golf,0.002511104886149906
Wrangler4WD,0.002501100484213054
15004WD,0.002479090799951979
ColoradoCrew,0.002457081115690904
CompassLatitude,0.0024050582256192727
Corolla4dr,0.0023990555844571613
RAV4XLE,0.00239305294329505
ImpalaLT,0.002367041498259234
AccordLX,0.0023510344551602707
SportageLX,0.002331025651286566
ISIS,0.0023270238905118254
SonataLimited,0.0023190203689623435
TacomaBase,0.0023010124454760092
Suburban2WD,0.002266997478890712
WranglerSport,0.0022649965985033415
C-ClassC,0.00225899395734123
PriusTwo,0.002250990435791748
Elantra,0.0022409860338548962
300300C,0.002234983392692785
Malibu,0.002220977229981192
Yukon2WD,0.002130937612549522
C-Class4dr,0.0021249349713874104
Escalade,0.0020949217655768537
TahoeLT,0.0020489015166673336
X3xDrive28i,0.0020408979951178517
CR-V4WD,0.00203289447356837
Charger4dr,0.0020248909520188883
Outlander,0.0020248909520188883
Malibu4dr,0.002022890071631518
TucsonFWD,0.002018888310856777
MDXAWD,0.00198887510504622
EdgeLimited,0.0019528592580735523
SonicSedan,0.0019528592580735523
GS,0.0019528592580735523
SiennaXLE,0.0019488574972988115
Camaro2dr,0.001928848693425107
RAV4LE,0.0019128416503261436
Expedition,0.00189683460722718
Pilot4WD,0.0018908319660650686
OdysseyTouring,0.0018868302052903276
Murano2WD,0.0018728240425787347
FusionHybrid,0.0018368081956060666
7,0.0018208011525071032
4Runner4WD,0.0018167993917323623
CamaroConvertible,0.0018027932290207692
Impala4dr,0.0018027932290207692
ElantraLimited,0.0017967905878586577
TundraSR5,0.0017787826643723239
Challenger2dr,0.0017787826643723239
4RunnerSR5,0.0017727800232102125
ChargerSE,0.0017507703389491377
Prius5dr,0.0017427668173996558
AvalonXLE,0.0017027492096522469
HighlanderFWD,0.0016907439273280242
GX,0.001688743046940654
DurangoAWD,0.001688743046940654
Maxima4dr,0.001680739525391172
Sienna5dr,0.001616711352995318
RAV4Limited,0.0016147104726079475
X5xDrive35i,0.001612709592220577
CivicEX,0.0015947016687342431
ExplorerFWD,0.0015786946256352795
Econoline,0.0015466805394373524
Pathfinder4WD,0.0015366761375005002
TaurusSEL,0.0015326743767257592
X5AWD,0.0015146664532394254
PriusThree,0.0014966585297530913
Camry,0.0014846532474288687
RAV44WD,0.001476649725879387
FJ,0.001468646204329905
EnclavePremium,0.0014506382808435712
RAV4FWD,0.0014386329985193486
3004dr,0.0014326303573572372
300300S,0.001422625955420385
Sentra4dr,0.0013886109888350874
TacomaPreRunner,0.0013826083476729761
HighlanderLimited,0.0013766057065108647
200S,0.0013746048261234942
Focus4dr,0.0013666013045740126
SiennaLE,0.00135459602224979
F-150FX4,0.0013345872183760854
CC4dr,0.0013265836968266037
CamryL,0.001300572251790788
PilotTouring,0.0012865660890791948
OptimaSX,0.001260554644043379
GSGS,0.001256552883268638
MustangBase,0.0012545520028812678
SorentoEX,0.0012525511224938974
SoulBase,0.001250550242106527
RDXAWD,0.0012445476009444155
FlexSEL,0.0012385449597823043
CanyonCrew,0.001214534395133859
LaCrosse4dr,0.001210532634359118
S60T5,0.0012085317539717476
F-150Platinum,0.0011985273520348954
6,0.001196526471647525
E-ClassE,0.0011805194285485613
PathfinderS,0.0011745167873864501
Pilot2WD,0.0011725159069990796
Durango2WD,0.0011705150266117092
TucsonAWD,0.0011645123854495977
LS,0.001160510624674857
ForteEX,0.0011545079835127456
Liberty4WD,0.001152507103125375
F-250Lariat,0.0011505062227380046
FiestaSE,0.0011445035815758934
G35,0.0011304974188643003
CR-V2WD,0.0011244947777021889
15002WD,0.0011224938973148186
Mazda34dr,0.0011124894953779662
MX5,0.001110488614990596
TaurusLimited,0.0011084877346032255
EdgeSE,0.0010964824522790028
FusionS,0.0010964824522790028
Lucerne4dr,0.0010944815718916324
MKXAWD,0.001092480691504262
Genesis,0.001088478930729521
Armada4WD,0.0010804754091800393
EscaladeAWD,0.0010664692464684461
1500Laramie,0.0010644683660810757
Sportage2WD,0.001048461322982112
PriusFour,0.00103845692104526
ImpalaLS,0.0010184481171715556
SportageAWD,0.0010144463563968146
MustangPremium,0.0010124454760094442
AccordEX,0.0010104445956220737
ExplorerBase,0.0010064428348473327
Avalon4dr,0.0009924366721357398
Avalanche4WD,0.0009864340309736284
AvalonLimited,0.0009684261074872944
JourneyAWD,0.0009624234663251831
TundraBase,0.0009604225859378126
EdgeSport,0.0009524190643883309
A44dr,0.0009524190643883309
FlexLimited,0.0009504181840009604
CruzeLT,0.00094841730361359
CT,0.00094841730361359
X1xDrive28i,0.0009324102605146264
CorvetteCoupe,0.0009264076193525151
OdysseyEX,0.0009224058585777743
CTS4dr,0.0009224058585777743
Titan4WD,0.0009023970547040698
GXGX,0.0009003961743166993
XC90AWD,0.0009003961743166993
TiguanS,0.0008963944135419585
Forester4dr,0.0008883908919924767
PacificaTouring,0.0008823882508303654
CherokeeSport,0.0008743847292808836
Q5quattro,0.0008683820881187723
EscapeS,0.00085837768618192
RogueFWD,0.00085837768618192
Optima4dr,0.00085837768618192
DurangoSXT,0.0008483732842450678
CayenneAWD,0.0008463724038576974
SorentoSX,0.0008423706430829565
ExpeditionXLT,0.000840369762695586
Impreza2.0i,0.0008383688823082156
Armada2WD,0.0008383688823082156
Highlander4WD,0.0008343671215334747
4RunnerLimited,0.0008303653607587339
SportageEX,0.0008203609588218816
F-250XLT,0.0008203609588218816
Savana,0.0008183600784345112
TiguanSE,0.0008163591980471408
Pathfinder2WD,0.0008163591980471408
PilotEX,0.0008003521549481772
Sorento2WD,0.0007963503941734363
Taurus4dr,0.0007943495137860659
Forester2.5X,0.000772339829524991
TundraLimited,0.0007683380687502501
Outback3.6R,0.0007683380687502501
ExpeditionLimited,0.0007663371883628796
WranglerSahara,0.0007643363079755093
Wrangler2dr,0.0007623354275881388
F-350Lariat,0.0007583336668133979
MKZ4dr,0.000754331906038657
SonicHatch,0.0007523310256512866
RDXFWD,0.0007503301452639161
F-150STX,0.0007463283844891752
Forte,0.0007443275041018048
EscapeXLT,0.0007423266237144343
Versa5dr,0.0007383248629396935
4RunnerRWD,0.000736323982552323
Tahoe4dr,0.0007243187002281004
RioLX,0.0007143142982912481
xB5dr,0.0007103125375165073
TL4dr,0.0007103125375165073
PilotLX,0.000704309896354396
MDX4WD,0.0006943054944175437
HighlanderBase,0.0006903037336428028
Frontier2WD,0.000686301972868062
Frontier4WD,0.000682300212093321
300Limited,0.0006802993317059507
X3AWD,0.0006762975709312097
Dakota4WD,0.0006742966905438392
500Pop,0.0006742966905438392
LSLS,0.0006742966905438392
tC2dr,0.0006682940493817279
RegalTurbo,0.0006642922886069871
CX-9AWD,0.0006622914082196166
Ranger2WD,0.0006582896474448758
XC60T6,0.0006442834847332826
TucsonLimited,0.0006382808435711713
35004WD,0.0006342790827964305
DTS4dr,0.0006182720396974669
RAV4Base,0.0006182720396974669
ColoradoExtended,0.0006182720396974669
350Z2dr,0.0006182720396974669
RegalPremium,0.0006062667573732443
Navigator4WD,0.0006022649965985033
QX564WD,0.0006022649965985033
Sprinter,0.0006022649965985033
Explorer,0.0006002641162111329
Expedition4WD,0.0005922605946616511
Titan,0.0005882588338869103
Mazda35dr,0.0005842570731121693
4Runner4dr,0.0005822561927247989
WranglerRubicon,0.0005822561927247989
LibertySport,0.0005802553123374285
FocusTitanium,0.0005762535515626875
Titan2WD,0.0005662491496258354
CivicEX-L,0.0005542438673016127
Yaris,0.0005522429869142423
MKXFWD,0.0005502421065268718
1,0.0005442394653647605
Tiguan2WD,0.0005422385849773901
CX-9Touring,0.0005342350634279083
New,0.0005322341830405378
Mazda64dr,0.0005302333026531674
CTCT,0.000528232422265797
Highlander4dr,0.000524230661491056
Expedition2WD,0.000524230661491056
A8,0.0005182280203289447
Caliber4dr,0.0005162271399415742
TaurusSHO,0.0005142262595542039
Colorado2WD,0.0005102244987794629
FusionSEL,0.0005082236183920926
CivicSi,0.0005082236183920926
TiguanSEL,0.0004962183360678699
200LX,0.00048621393413101764
Xterra4WD,0.00048621393413101764
Boxster2dr,0.0004842130537436472
Dakota2WD,0.00048221217335627675
Versa4dr,0.0004802112929689063
Focus5dr,0.0004802112929689063
911,0.0004782104125815359
CR-VSE,0.0004762095321941654
WRXSTI,0.0004682060106446837
Colorado4WD,0.0004602024890952019
200Touring,0.0004602024890952019
