number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
5,35376620.92900277,2,0.10216145003988288,0.4380536995774027,90,COMPLETE
4,38405595.74171642,7,0.3160816507681301,0.40049076648134196,30,COMPLETE
9,39909098.76942733,6,0.3537939978533256,0.8748657846355502,110,COMPLETE
2,39909136.96544888,8,0.33142759763036594,0.8926434154169709,130,COMPLETE
7,39909165.998796314,4,0.07528633518603169,0.8730167381540636,180,COMPLETE
1,39909202.08399103,7,0.3624856830894156,0.2148838355622768,90,COMPLETE
6,39909255.38511958,10,0.2674298296282157,0.7690208678339047,120,COMPLETE
3,39909377.73400876,6,0.15956670170956835,0.9376067154987058,190,COMPLETE
8,39909415.83998728,2,0.35586996427350726,0.9184251220036798,180,COMPLETE
0,39909466.37320518,5,0.18661622068066783,0.8944540473110245,140,COMPLETE
